epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,95.5394,0,117.654,0,0,0,0,0,0,162.775,0,0.00013332,0.00013332,0.00013332
2,190.785,0,109.156,0,0,0,0,0,0,160.273,0,0.000272251,0.000272251,0.000272251
3,286.585,0,102.124,0,0,0,0,0,0,154.269,0,0.000405462,0.000405462,0.000405462
4,379.198,0,94.8893,0,0,0,0,0,0,217.736,0,0.000532953,0.000532953,0.000532953
5,462.197,0,89.5721,0,0,0,0,0,0,127.881,0,0.000654726,0.000654726,0.000654726
6,548.109,0,86.1565,0,0,0,0,0,0,134143,0,0.000770778,0.000770778,0.000770778
7,631.644,0,82.4174,0,0,0,0,0,0,122.816,0,0.000881112,0.000881112,0.000881112
8,713.504,0,78.8859,0,0,0,0,0,0,107.817,0,0.000957015,0.000957015,0.000957015
9,795.367,0,75.8308,0,0,0,0,0,0,1752.9,0,0.000935018,0.000935018,0.000935018
10,877.359,0,72.2305,0,0,0,0,0,0,2006.52,0,0.00091302,0.00091302,0.00091302
11,959.401,0,68.976,0,0,0,0,0,0,11857,0,0.000891022,0.000891022,0.000891022
12,1044.29,0,66.6331,0,0,0,0,0,0,5377.99,0,0.000869024,0.000869024,0.000869024
13,1135.03,0,63.3067,0,0,0,0,0,0,397.964,0,0.000847026,0.000847026,0.000847026
